company,company_rating,location,job_title,job_description,salary_estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
"VedaInfo Inc
4.1",4.1,"Phoenix, AZ",Big Data Engineer,"Hi,
I hope this note finds you well
I am reaching out to you regarding your career opportunity with us for “Big Data Engineer” for a “6+ Months Contract” @Phoenix, AZ
Please find the below requirement details.
Job Title: Big Data Engineer
Location: Phoenix, AZ (Onsite)
Duration: 6+ months
Rate: $60/hr C2C
Responsibilities:
Design, implement, and maintain big data systems handling large volumes of data.
Utilize Hadoop, Hive, and Spark for efficient data processing and analysis.
Collaborate with cross-functional teams to understand data requirements.
Develop and optimize data ingestion, storage, and transformation processes.
Build scalable data pipelines for seamless data processing and analysis.
Monitor and troubleshoot data processing and performance issues.
Stay updated with emerging big data technologies.
Requirements:
Bachelor's/Master's degree in CS, Engineering, or related field
7+ years of experience as a Big Data Engineer
Strong proficiency in Hadoop, Hive, and Spark
Extensive experience with AWS or Azure
Solid understanding of data ingestion, storage, and transformation
Excellent problem-solving and communication skills
Proactive and self-motivated
This is a 6+ month onsite contract position in Phoenix, AZ, with the possibility of extension. Compensation is $60/hr on C2C basis.
Please submit your updated resume highlighting relevant experience.
Thank you for your interest!
Thanks & Regards
Mohammed ZAIN
Job Type: Contract
Pay: $50.00 - $60.00 per hour
Experience level:
7 years
Ability to commute/relocate:
Phoenix, AZ: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
To improve your chances of getting Shortlisted, make sure to tailor your Profile to the Job Requirements, Highlight your Relevant Skills and Experience, and then upload your Resume.
Experience:
AWS (Amazon Web Services): 7 years (Required)
Azure: 7 years (Required)
Big data: 7 years (Required)
Hadoop: 7 years (Required)
Apache Hive: 7 years (Required)
Spark: 7 years (Required)
Work Location: One location",$55.00 /hr (est.),201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,$1 to $5 million (USD)
Sconcept,#N/A,Remote,Azure Data Engineer,"** W2 LONG TERM CONTRACT BASED....**(NO C2C)
JOB TYPE:- Long Term Contract(6 months)Extendable
JOB LOCATION:-USA
About Sconcept LLC:-Software Concepts Consulting was established in 2008. With our “hands-on” approach we are very successful in delivering high performance, secure IT solutions and IT services. With headquarters in Carrollton, Texas we are specialized in providing business solutions to the Fortune 500 clients. Our clients include Software, Banking, Financial, Healthcare, Retail, Consumer goods and Insurance sectors. We deliver candidates based on client requirements.
Required Skills:-
Must have worked on several (5+) projects building solutions for Data Pipelines, Data warehousing, Data Modelling on Azure Data Platform (AWS, Google Cloud Platform - good to have)
Expertise in design and development of Data pipelines and ETL using ADF, Databricks to move data from relational/structured/unstructured data from source to data lake to data warehouse, on Azure
Creating Pipelines and integrations of multiple data sources
Data processing and transformation using Databricks (Scala/Python)
Expertise in optimizing cost and performance of data pipelines
Experience working with Data Lake, Synapse on Azure
Designing Data Lake storage layer (Landing/staging, raw, trusted/curated zones)
Designing data storage DB schema, data models and processing on Azure Synapse DW
Experience with Synapse Spark Pool
Experience in Data Modelling
Building Data Models from structured and semi-structured data (Data Model, Common Data Model etc.)
Performance optimization of data model for high performance analytical and reporting workloads
Expertise with SQL Server and extensive experience with SQL programming
Programming and optimizing DB objects Views, Stored Procs, Functions
Good experience in defining data access policy and security for azure data services
Experience with Oracle EDW
Knowledge/Experience migrating from Oracle EDW to any cloud DW
Experience integrating AI skills/ML models with Data and reporting solutions
Experience in building API layer for downstream consumption
Job Type: Contract
Pay: $45.00 - $50.00 per hour
Benefits:
Health insurance
Compensation package:
Bonus pay
Schedule:
8 hour shift
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: Remote",$47.50 /hr (est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
META FORCE IT LLC,#N/A,"Cincinnati, OH",Data Engineer,"Job Description
The data engineer designs and builds platforms tools and solutions that help the bank manage secure and generate value from its data. The person in this role creates scalable and reusable solutions for gathering collecting storing processing and serving data on both small and very large i.e. Big Data scales. These solutions can include on-premise and cloud-based data platforms and solutions in any of the following domains ETL business intelligence analytics persistence relational NoSQL data lakes search messaging data warehousing stream processing and machine learning.
Responsible and accountable for risk by openly exchanging ideas and opinions elevating concerns and personally following policies and procedures as defined. Accountable for always doing the right thing for customers and colleagues and ensures that actions and behaviors drive a positive customer experience. While operating within the Bank's risk appetite achieves results by consistently identifying assessing managing monitoring and reporting risks of all types.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
Responsible for design Development and Support of data solutions APIs tools and processes to enable rapid delivery of business capabilities.
Work closely with IT application teams Enterprise architecture infrastructure information security and LOB stakeholders to translate business and technical strategies into data-driven solutions for the Bank.
Act as a technical Expert addressing problems related to system and application design performance integration security etc.
Conduct research and Development based on current trends and technologies related to the banking industry data engineering and architecture data security and related topics.
Work with developers to Build CI/CD pipelines Self-service Build tools and automated deployment processes.
Evaluate software products and Provide documented recommendations as needed.
Provide Support and troubleshooting for data platforms. Must be willing to Provide escalated on-call Support for complicated and/or critical incidents.
Participate in the planning process for hardware and software.
Plan and work on internal projects as needed including legacy system replacement Monitoring and analytics improvements tool Development and technical documentation.
Provide technical guidance and mentoring for other team members.
Manage and prioritize multiple assignments.
MINIMUM KNOWLEDGE SKILLS AND ABILITIES REQUIRED:
Bachelor's degree in Computer Science/Information Systems or equivalent combination of education and experience.
Must be able to communicate ideas both verbally and in writing to management business and IT sponsors and technical resources in language that is appropriate for each group.
Fundamental understanding of distributed computing principles
Knowledge of application and data security concepts best practices and common vulnerabilities.
Conceptual understanding of one or more of the following disciplines preferred big data technologies and distributions metadata management products commercial ETL tools Bi and reporting tools messaging systems data warehousing Java language and run time environment major version control systems continuous integration/delivery tools infrastructure automation and virtualization tools major cloud or rest API design and development.
Job Type: Contract
Pay: $45.96 - $50.00 per hour
Experience level:
10 years
Schedule:
8 hour shift
Ability to commute/relocate:
Cincinnati, OH 45215: Reliably commute or planning to relocate before starting work (Required)
Experience:
data engineer: 10 years (Preferred)
Big data: 3 years (Preferred)
Work Location: Hybrid remote in Cincinnati, OH 45215",$47.98 /hr (est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"ProGrad
4.2",4.2,Remote,Data Engineer,"We are looking for data engineers that are excited about building and maintaining data pipelines for a variety of interests. The pipelines will ingest data from a variety of sources ranging from internal change data streams to external integrations with various SaaS platforms through webhooks and events. The ideal candidate is self driven and looking to grow as a data engineer while having an outsized impact on the future of data at the company. A love for database architecture and optimisation is a must as is the ability to work across diverse teams.
Requirements/Qualifications:
Bachelor's or Master's degree in Data Science (specialization)
Software development experience coding in a general-purpose programming language such as C, C++, Java, JavaScript, Golang, or Python
Experience working with data structures or algorithms (i. e., data structures /algorithms class, coursework/projects, research, internships, or other practical experience in/outside of school or work (including open source hobby coding)
Proficiency in SQL, and NoSQL Databases
Experience working with large datasets
Experience writing and debugging complex SQL queries
A strong understanding of cloud database best practices and performance optimisation
Experience building and maintaining data pipelines, coupled with knowledge of good programming practices such as unit and integration testing
. A strong understanding of cloud database best practices and performance optimisation
Good to have skills:
. Experience building and maintaining data pipelines, coupled with knowledge of good programming practices such as unit and integration testing
Job Types: Full-time, Permanent
Salary: Up to $1,200,000.00 per year
Experience level:
1 year
Under 1 year
Schedule:
Day shift
Work Location: Remote
Speak with the employer
+91 9057202434",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
Enterprise Minds,#N/A,Remote,Data Engineer,"Job Role: SQL Data Engineer
Location: Remote Opportunity - Need to work in PST hours
Visa: US Citizen Only
Duration: Long term
Roles and Responsibilities:
3+ years of experience with a complex build system in AWS using Starburst.
5+ years of experience with installation, maintenance, and administration of Oracle databases- PL/SQL and ANSI SQL
Oracle DBA + Oracle SQL to ANSI SQL conversion, performance/query tuning
3+ years of experience configuring, integrating, and securing multiple AWS database offerings (ex. RDS, Aurora, Casandra, and Dynamo)
2+ years of experience with supporting Linux systems engineering efforts in system design and evaluation, solution engineering, software development, or system administration.
Experience with Database Schema as Code tools
Ability to design and develop complex SQL queries and reports to retrieve required data.
Experience with database partitioning and microservices
Knowledge of Agile methodologies or the software development life cycle (SDLC)
US Citizenship is Mandatory.
Job Type: Full-time
Experience:
Data Engineer: 10 years (Preferred)
AWS using Starburst: 4 years (Preferred)
PL/SQL and ANSI SQL: 2 years (Preferred)
AWS RDS: 1 year (Preferred)
Work Location: Remote",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"MARVEL TECHNOLOGIES INC
3.7",3.7,"Cincinnati, OH",Data Engineer,"Job Description
The data engineer designs and builds platforms tools and solutions that help the bank manage secure and generate value from its data. The person in this role creates scalable and reusable solutions for gathering collecting storing processing and serving data on both small and very large i.e. Big Data scales. These solutions can include on-premise and cloud-based data platforms and solutions in any of the following domains ETL business intelligence analytics persistence relational NoSQL data lakes search messaging data warehousing stream processing and machine learning.
Responsible and accountable for risk by openly exchanging ideas and opinions elevating concerns and personally following policies and procedures as defined. Accountable for always doing the right thing for customers and colleagues and ensures that actions and behaviors drive a positive customer experience. While operating within the Bank's risk appetite achieves results by consistently identifying assessing managing monitoring and reporting risks of all types.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
Responsible for design Development and Support of data solutions APIs tools and processes to enable rapid delivery of business capabilities.
Work closely with IT application teams Enterprise architecture infrastructure information security and LOB stakeholders to translate business and technical strategies into data-driven solutions for the Bank.
Act as a technical Expert addressing problems related to system and application design performance integration security etc.
Conduct research and Development based on current trends and technologies related to the banking industry data engineering and architecture data security and related topics.
Work with developers to Build CI/CD pipelines Self-service Build tools and automated deployment processes.
Evaluate software products and Provide documented recommendations as needed.
Provide Support and troubleshooting for data platforms. Must be willing to Provide escalated on-call Support for complicated and/or critical incidents.
Participate in the planning process for hardware and software.
Plan and work on internal projects as needed including legacy system replacement Monitoring and analytics improvements tool Development and technical documentation.
Provide technical guidance and mentoring for other team members.
Manage and prioritize multiple assignments.
MINIMUM KNOWLEDGE SKILLS AND ABILITIES REQUIRED:
Bachelor's degree in Computer Science/Information Systems or equivalent combination of education and experience.
Must be able to communicate ideas both verbally and in writing to management business and IT sponsors and technical resources in language that is appropriate for each group.
Fundamental understanding of distributed computing principles
Knowledge of application and data security concepts best practices and common vulnerabilities.
Conceptual understanding of one or more of the following disciplines preferred big data technologies and distributions metadata management products commercial ETL tools Bi and reporting tools messaging systems data warehousing Java language and run time environment major version control systems continuous integration/delivery tools infrastructure automation and virtualization tools major cloud or rest API design and development.
Job Types: Full-time, Contract
Pay: $60.00 - $62.00 per hour
Compensation package:
Hourly pay
Yearly pay
Experience level:
9 years
Schedule:
8 hour shift
Monday to Friday
Work Location: In person",$61.00 /hr (est.),51 to 200 Employees,Company - Private,Information Technology,Computer Hardware Development,#N/A,$5 to $25 million (USD)
"DiamondPick
4.5",4.5,Remote,GCP Data Engineer,"Position: GCP Data Engineer (8+years)
Location: Remote
Type: Contract
Job Details:
· Relevant Industry Work Experience (6+ for Developer, preferred 9+ years)
· Experience extracting data from a variety of sources, and a desire to expand those skills (Excellent knowledge in SQL and Spark is mandatory)
· Strong knowledge of Google BigQuery and architecting data pipelines from on-prem to GCP.
· Experience building applications using Google Cloud Platform related frameworks such as DataProc and GCS at the minimum.
· Excellent Communication Skills to Understand and Pass on Requirements.
· Excellent Data Analysis skills. Must be comfortable with querying and analyzing large amount of data on Hadoop HDFS using Hive and Spark.
· Professional experience with a cloud hosting platform (GCP preferred)
· GCP certification is preferred.
Job Type: Contract
Salary: Up to $65.00 per hour
Experience level:
10 years
8 years
9 years
Schedule:
8 hour shift
Day shift
Monday to Friday
Experience:
Google BigQuery: 4 years (Preferred)
DataProc: 2 years (Preferred)
Google Cloud Platform: 9 years (Required)
Spark: 8 years (Required)
SQL: 8 years (Required)
License/Certification:
Google Cloud Platform(GCP) Certification (Required)
Work Location: Remote",$65.00 /hr (est.),1001 to 5000 Employees,Company - Private,Human Resources & Staffing,HR Consulting,#N/A,Unknown / Non-Applicable
Zllius Inc.,#N/A,"Chicago, IL",Data Engineer,"Hi,
Greetings from Zllius Inc!
We have an urgent opening for the role Data Engineer. If interested, revert me back with your Updated resume, along with contact details, work authorization.
Job Role: Data Engineer
Duration: Long-Term
Position Type: W2/ 1099
Visa: Any
Job Description:
Technical/Functional Skills
Successful candidates will have:
Hands on experience in Dremio and Scripting
Hands on Scripting experience in Python and Flask
Hands on experience in Integrating data from multiple source systems (PostgreSQL and CSV)
Experience with Apache Superset
Ability to write complex SQL queries
Experience in building data pipelines using PostgreSQL, Oracle database, Dremio, AWS Open Search
Experience with Docker Containerization of Code
Work as a part of a scrum team in Agile methodology
ETL, Data Pipelines, PostgreSQL, SQL Queries, Scripting
Job Types: Full-time, Contract
Salary: $111,076.11 - $133,769.08 per year
Schedule:
8 hour shift
Day shift
Monday to Friday
Work Location: On the road","$122,423 /yr (est.)",Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
shreetek,#N/A,"Charlotte, NC",Senior Data Engineer,"Job Title : Data Engineer
ONLY USC
On W2 only
Job Location : Newjersey OR Charlotte,NC
Collect, manage, and convert raw data accurately and reliably
Organize data systems for subgroup access and analyses
Configure and sustain data cloud structures
Able to work with structured and unstructured data.
Validate outputs of data pipelines
Degree in Data Engineering preferred.
Two Programmers –
Convert existing SAS code to python/pyspark code for model operation in the cloud.
Create and sustain policy analysis models in the cloud.
Troubleshoot user interfaces in the cloud.
Create and sustain intuitive user interfaces in the cloud.
A degree in Computer Science is preferred.
Overall across resources keep following stack as reference
Visualization : Tableau
Data Modeling/Science : Python / SAS
Engg : AWS cloud native services, security, data pipeline
Job Type: Contract
Salary: $50.00 - $60.00 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
Charlotte, NC 28202: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location",$55.00 /hr (est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Amazee Global Ventures Inc
5.0",5.0,Remote,Data Engineer,"(W2 ONLY)
Job Title: Data Engineer
Duration : 12 months
Location: Remote
6-7 years of experience
Healthcare experience is must
Design, develop, and maintain Tableau dashboards and reports
Develop and maintain data models and ETL processes
Analyze data to identify trends and patterns
Create and maintain data dictionaries and data models
Develop and maintain data pipelines
Collaborate with stakeholders to understand data requirements
Develop and maintain data quality processes
Monitor data quality and performance
Troubleshoot data issues
Develop and maintain documentation
Requirements:
Bachelor’s degree in Computer Science, Information Systems, or related field
4+ years of experience in data engineering and analysis
Expertise in Tableau
Experience with SQL and data modeling
Knowledge of ETL processes
Knowledge of data warehousing
Excellent problem-solving and communication skills
Ability to work independently and in a team environment\
Amazee Global Ventures Inc, is an equal opportunity employer. We will not discriminate and will follow all measures to ensure no discrimination in employment, recruitment, advertisements for employment, compensation, termination, upgrading, promotions, and other conditions of employment against any employee or job applicant on the bases of race, color, gender, national origin, age, religion, creed, disability, veteran's status, sexual orientation, gender identity or gender expression. We are committed to providing an inclusive and welcoming environment for all members of our staff, clients, volunteers, subcontractors, vendors, and clients.
Job Type: Full-time
Salary: $40.33 per hour
Work Location: Remote",$40.33 /hr (est.),1 to 50 Employees,Company - Public,#N/A,#N/A,2019,Less than $1 million (USD)
