company,company_rating,location,job_title,job_description,salary_estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
"Wallero
4.4",4.4,"Seattle, WA",Data Engineer,"Hi,
Pretty much interested in your resume, we have an urgent opening for Data Engineer role with one of our clients based in Seattle WA.
Position: Data Engineer
Location: Seattle WA - Remote (100%)
Description:
Good Experience in reporting space including PowerBI, ADF, and possibly standing up a data warehouse/data mart.
The main scope centering is around reporting.
Experience with SQL, and agile framework including requirement gathering and story/feature writing skills.
Need someone strong who is comfortable leading and guiding teams in that capacity.
Migrating data from third party to Azure Cloud
Job Types: Full-time, Contract
Pay: $70.00 - $80.00 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
Seattle, WA 98101: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: In person",$75.00 /hr (est.),51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2015,$1 to $5 million (USD)
"Codinix Technologies
5.0",5.0,"Boston, MA",Cloud Data Engineer - AWS,"Only US Citizen
Strong in warehouse technologies (Hadoop, Spark, AWS, etc.)
Bachelor's degree in Computer Science, Information Systems, or another related field
5+ years of data engineering, and cloud engineering experience
Experience in Agile project methodologies and DevOps
Experience with AWS (certification preferred; including Athena, Redshift, Glue), Cloudera
Experience building a CI/CD pipeline to deploy applications on AWS (GitLab, Terraform)
Advanced experience programming and scripting on Unix/Linux (i.e. Python, Bash)
Experience with CTRL-M, Cron (other) scheduling of batch jobs
Experience migrating legacy systems to cloud-ready architectures
Job Type: Contract
Pay: Up to $75.00 per hour
Experience level:
5 years
Schedule:
8 hour shift
Day shift
Monday to Friday
Ability to commute/relocate:
Boston, MA: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: In person",$75.00 /hr (est.),1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
"Synovize
5.0",5.0,Remote,Big Data Engineer,"Synovize is a cutting-edge technology company that specializes in providing advanced data analytics and intelligence solutions. Our mission is to empower businesses with the tools and insights they need to make data-driven decisions and drive innovation. We are committed to delivering exceptional results by combining our expertise in big data technologies with our passion for creating impactful solutions.
As a Big Data Engineer at Synovize, you will have the opportunity to work on exciting projects that involve designing and implementing scalable data solutions. You will collaborate with a talented team of professionals, including software developers, data scientists, and domain experts, to tackle complex data engineering challenges and deliver high-quality solutions to our clients.
Job Title:
Big Data Engineer
Company: Synovize
Number of Positions: 2
Location: Remote
Length: 12 Months
Tax Terms: 1099/C2C or W-2
Rate/Range: $70-$90/hr
Work Authorization: US Citizen
Security Clearance: None
Skills Needed:
Proficiency in Java and Kotlin programming languages.
Strong knowledge of AWS (Amazon Web Services) and its big data offerings.
Experience with BigData technologies, frameworks, and tools.
Familiarity with Kafka for streaming data processing.
Proficiency in Python programming language.
Responsibilities:
Design and develop scalable data pipelines to process, integrate, and analyze large volumes of structured and unstructured data.
Implement data ingestion, transformation, and storage mechanisms using big data technologies and frameworks.
Collaborate with data scientists and analysts to understand data requirements and optimize data models for analytics and machine learning.
Utilize AWS services and tools to build and maintain data infrastructure, ensuring data quality, integrity, and security.
Troubleshoot and resolve data-related issues, optimizing performance and efficiency.
Stay up-to-date with emerging trends and advancements in big data technologies, recommending and implementing improvements to existing systems and processes.
Requirements:
Bachelor's or master's degree in computer science, engineering, or a related field.
Proven experience as a Big Data Engineer or similar role, with a strong understanding of big data technologies and architectures.
Proficiency in Java and Kotlin programming languages.
Strong knowledge of AWS and its big data offerings.
Experience with BigData technologies, frameworks, and tools.
Familiarity with Kafka for streaming data processing.
Proficiency in Python programming language.
Strong problem-solving skills and ability to work in a fast-paced, collaborative environment.
Excellent communication and interpersonal skills.
Join Synovize and be part of a dynamic team that is at the forefront of data innovation. Together, we will drive meaningful change and unlock the full potential of data-driven decision-making.
Job Types: Full-time, Contract
Pay: $70.00 - $90.00 per hour
Benefits:
401(k)
Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Vision insurance
Schedule:
10 hour shift
4 hour shift
8 hour shift
Choose your own hours
Application Question(s):
Are you a US Citizen?
Years of experience in Java?
Years of experience in Kotlin?
Years of experience in big data?
Years of experience in AWS?
Security Clearance
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: Remote",$80.00 /hr (est.),1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
"Maven Workforce
4.1",4.1,"McLean, VA",Data Engineer,"MUST HAVES: Hands-on experience with Informatica PowerCenter and/or Informatica Intelligent Cloud Services (IICS), Cloud Data Integration (CDI) , Cloud AWS,UNIX scripting, and any other ETL tools.
Job responsibilities: –
The candidates will be having the IICS module of Informatica more than any other platform modules.
Strong hands-on experience building ETL pipelines and Data Replication
3+ yrs of experience with IICS is required.
Must be hand Ons with AWS services like ECS,S3,EKS etc.
Cloud Data Integration is also required.
Data Engineering Background experience with Spark, Hive is also required.
Preferred:
SQL is preferred, but basic knowledge is required
Job Type: Contract
Salary: $60.00 per hour
Ability to commute/relocate:
Mclean, VA 22101: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica PowerCenter: 7 years (Required)
Informatica Intelligent Cloud Services (IICS): 7 years (Required)
Cloud Data Integration (CDI): 7 years (Required)
UNIX scripting: 7 years (Required)
ETL tools: 7 years (Required)
Work Location: One location
Speak with the employer
+91 7328456015",$60.00 /hr (est.),51 to 200 Employees,Company - Private,Human Resources & Staffing,HR Consulting,2008,Unknown / Non-Applicable
"Kaizen Analytix
3.9",3.9,"Dallas, TX",Cloud Data Engineer: AWS,"Cloud Data Engineer: AWS
Kaizen Analytix LLC, an analytics services company, is seeking a qualified Cloud Data Engineer Contractor to support data science or data analytics projects. Responsibilities, capabilities for success, and job requirements are below. This role requires an estimated 40 hours/week commitment for approximately 24 weeks.
Responsibilities:
Candidate will be responsible for supporting a data science or data analytics project.
Work with client IT to understand access and use of source-of-truth data systems and downstream data sources.
Work with data scientist or visualization experts to determine data requirements such as structure, latency, availability.
Work with IT Security to assess risk of using sensitive data and how these data can be used throughout the project life cycle.
Develop an as-is and to-be state for data architecture.
Capabilities for Success:
In addition to key responsibilities, Candidate should demonstrate an ability to…
Work with the project manager and the business stakeholders to define upstream requirements for data.
Contribute to estimating input and time required for data engineering development tasks.
Contribute to client demonstrations of solution or presentations on architecture.
Proactively raise risks and issues to internal project manager
Work with data scientist or analysts to proactively assist in data concerns
Job Requirements:
Education: Bachelor's degree required
Extensive Experience in Data Engineering – consuming, wrangling, validating, developing pipelines for data.
Extensive Experience with AWS
Must have Solutions Architect Certification
Strong knowledge of databases, ETL concepts, SQL, and NoSQL sources.
Experience in: Python (data packages such as Pandas, PySpark, SQL Alchemy, pydantic, etc.) and SQL.
Position Type: 1099 Contractor",$57.50 /hr (est.),1 to 50 Employees,Company - Private,Management & Consulting,Business Consulting,#N/A,Unknown / Non-Applicable
Kanini,#N/A,Remote,Data Engineer,"About Kanini
Kanini provides Agile Software Development, Cloud Computing, Data Science, and Location Intelligence services to public and private organizations. We have successfully served our clients in government, finance, transportation, utility, and software industries since 2003.
Why you should join
Working at Kanini is flexible and personal. We are a highly motivated, collaborative team experimenting with the latest technologies. We are committed to everyone having a healthy work/life balance, and we provide extensive mentorship and training resources to help you succeed.
Kanini is looking for a Big Data Engineer who has a deep experience in Data Engineering, AWS, Python, Data Lakes.
Required Skills
At least 10 years software development experience
At least 5 years leading at least one Scrum team of data engineers building data-intensive products with a modern tech stack.
Significant experience with big data ETL pipeline development with Spark, Hive, and related technologies
Significant experience with a general-purpose programming language such as Python, Scala, or Java
Experience with Spark framework and related tools (PySpark, Scala, SparkR, Spark SQL, Spark UI)
Experience with Hadoop ecosystem using HDFS, ADLS Gen2, or AWS S3
Experience with data visualization development using Python, Tableau, or PowerBI
Experience with Azure, AWS or GCP
Solid understanding of performance tuning concepts for relational and distributed database systems
Familiarity with distributed programming, big data concepts, and cloud computing
Education Qualifications
Bachelor’s degree in computer science/Engineering or Technology related field or possess equivalent work experience.
Preferred Qualifications
Cloud certifications from Azure, AWS or GCP
Big data, data engineering or data science certifications from recognized vendors such as Databricks & Cloudera
Kanini Software Solutions, Inc. does not discriminate in employment matters based on race, gender, religion, age, national origin, citizenship, veteran status, family status, disability status, or any other protected class. We support workplace diversity. If you have a disability, please let us know if there is anything we can do to improve the interview process for you; we’re happy to accommodate.
Kanini Software Solutions, Inc., 25 Century Blvd., Ste. 602, Nashville, TN 37214
Job Types: Full-time, Contract
Pay: $60.00 - $70.00 per hour
Work Location: Remote",$65.00 /hr (est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Provista Software Corporation,#N/A,Remote,Data Engineer,"As a successful candidate, you’ll play a pivotal role in the data conversion and business intelligence solution efforts during project implementation for our state and local clients. We are looking for you to join our software implementation team as a Senior Data Engineer.
Qualification:
5+ years of experience working independently as ETL developer on data migration projects that covered diverse database platforms and complex data conversions.
Must have experience across leading Database Platforms especially Oracle, Azure SQL, Snowflake.
Expert level experience with Extraction Transform Load (ETL) plan, protocols, and tools.
Expert level experience with programming languages SQL, Phyton, Java, C#.
Good at communication with clients and internally.
Expert at problem solving and troubleshooting skills.
Bachelor's degree, preferably in Computer Science, Information Technology, Computer Engineering, or related IT discipline; or equivalent experience
Must be a U.S. Citizen or Green Card Holder.
Functional Responsibility:
Data Conversion -
In collaboration with Data Stewards, discover inventory of legacy data sources and all data the client expects to be migrated to destination Modified Off the Shelf (MOTS) solution.
Complete gap assessment between legacy data and MOTS data requirements, and options to address the gaps.
Develop data migration map to minimally include data dictionary, detailed data map of all elements of the current database, data transformation rules, relationship rules, validation rules, process of migrating images, and process for recovering missing or erroneous data.
Identify issues, risks, and/or barriers that may interfere with data migration and recommendations to resolve or mitigate.
Conduct testing and quality assurance to ensure the data is migrated accurately.
Migrate data from legacy to destination MOTS solution progressively using a sample set of data and the entirety of the data prior to deployment into relevant go-live environments (e.g., staging, production, etc.)
Prepare data migration reports that includes – record counts of source vs migrated vs modified; field level validation of data at row and column; discovered exceptions.
Business Intelligence -
Develop ETL pipelines in and out of Snowflake data warehouse using combination of Python, SnowSQL, and SQL.
In collaboration with Data Stewards, create Snowflake data mart as curated subset of data to support the analytics and business intelligence needs of subgroup of users.
Translate requirements for business intelligence and reporting to database design and reporting design.
Conduct discovery sessions with users to capture business intelligence reports.
Develop Tableau self-service ad hoc reports to support operational users.
Develop Tableau Dashboards to support executive, management, and operational users.
About us:
Provista Software Corporation is fast growing Software Solution provider for US State and Local Government Clients.
Job Type: Full-time
Pay: $67,107.98 - $134,285.66 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Vision insurance
Compensation package:
Yearly pay
Experience level:
5 years
Schedule:
8 hour shift
Application Question(s):
What is your most preferred work time zone ?
Experience:
ETL: 5 years (Required)
Data warehouse: 1 year (Preferred)
Tableau: 1 year (Preferred)
Talend: 1 year (Preferred)
Microsoft SQL Server: 5 years (Required)
Work Location: Remote","$100,697 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Spar Information Systems
3.7",3.7,Remote,Sr Data Engineer- (Visa Sponsorship Not Available),"Sr Data Engineer- (Visa Sponsorship Not Available)
Location: Remote
Duration: 3 Months Contract to hire
Required Skills:
10+ years of experience in data software development, programming languages and developing with big data technologies
2+ years of experience designing and building on existing and new data applications
2+ years of experience in Cloud DevOps concepts, Cloud Services and Architecture, and Azure/AWS/GCP DevOps Operational Framework
1+ years of experience in open-source data tools and frameworks, or one of the following: .net Core, asp.Net, Angular, or Express.
Experience in data software development, using data technologies such as Relational & NoSQL databases, open data formats, and programming languages such as Python, Scala, and/or other frameworks, building data pipelines (ETL and ELT) with batch or streaming ingestion, error handling, loading, and transforming data, and developing with big data technologies such as Spark, Hadoop, and MapReduce. Experience with analytics solutions.
Experience in development using Python or PySpark, Spark, Scala.
Advanced understanding of designing and building for data quality assurance, reliability, availability, and scalability, on existing and new data applications.
Advanced understanding of DevOps Concepts, Cloud Architecture, and Azure DevOps Operational Framework, Pipelines, Kubernetes.
Advanced understanding of designing and building solutions for data quality and observability, metadata management, data lineage, and data discovery.
Advanced understanding of building products of micro-services oriented architecture and extensible REST APIs.
Advanced understanding of open-source frameworks.
Experience with continuous delivery and infrastructure as code.
Experience in existing Monitoring Portals: Splunk or Application Insights.
Advanced understanding of Security Protocols & Products: Understanding of Active Directory, Windows Authentication, SAML, OAuth.
Advanced understanding of Azure Network (Subscription, Security zoning, etc) & tools like Genesis.
Advanced understanding of existing Operational Portals such as Azure Portal.
Knowledge of CS data structures and algorithms.
Knowledge of developer tooling across the software development life cycle (task management, source code, building, deployment, operations, real-time communication).
Practical knowledge of working in an Agile environment (Scrum/Kanban/SAFe).
Strong problem-solving ability.
Ability to excel in a fast-paced, startup-like environment.
Bachelor’s degree in Computer Science, Information Systems, or equivalent education or work experience.
Job Types: Full-time, Contract
Pay: $60.00 - $70.00 per hour
Schedule:
8 hour shift
Experience:
Data Engineer: 10 years (Preferred)
Cloud: 3 years (Required)
Work Location: Remote",$65.00 /hr (est.),Unknown,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
Zenotis Technologies inc,#N/A,"Addison, TX",Big Data Engineer,"Role: Big Data Engineer
Location – Addison, TX/ Charlotte, NC / Chandler, AZ (Hybrid – 3 days onsite 2 days remote)
Position Summary:
Looking for a big data engineer who loves solving complex problems across a full spectrum of technologies. The ideal candidate is excited by experimentation and looking for a new challenge that stretches their talents. The big data engineer will help ensure that our technological infrastructure operates seamlessly in support of business objectives.
The engineer must be able to:
· Translate complex technical and functional requirements into detailed designs
· Guide the development and testing teams in developing and implement pipelines that extract, transform, and load data into an information product that helps the organization reach its strategic goals
· Focus on ingesting, storing, processing, and analyzing large datasets
· Deep understanding on how to create scalable, high-performance web services for tracking data
· Investigate alternatives for data storing and processing to ensure the implementation of the most streamlined solutions
Primary Skill
Hadoop
Secondary Skill
Kafka
Tertiary Skill
Oracle Exadata
Required Skills
· Translate complex technical and functional requirements into detailed designs
· Design data pipelines using design tools and provide solution intent in provided templates
· Work closely with data science team to implement data analytics pipelines
· Analyze vast number of data stores to uncover insights
· Define data governance policies and support data-versioning processes
· Maintain security and data privacy, working closely with data protection guidelines.
· Desired Skills
· Experience with Python, Spark, and Hive
· Understanding of data-warehousing and data-modeling techniques
· Knowledge of industry-wide visualization and analytics tools (ex: Tableau, R)
· Strong data engineering skills with Hadoop platform
· Experience with streaming frameworks such as Kafka
· Knowledge of Core Java, Linux, SQL, and any scripting language
· Good interpersonal skills and positive attitude
Job Type: Full-time
Salary: Up to $70.00 per hour
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
8 hour shift
Work Location: On the road",$70.00 /hr (est.),201 to 500 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
"PRIMUS Global Services, Inc
4.1",4.1,"Minneapolis, MN","Data Engineer – Hadoop, Python – REMOTE WORK 43198","We have an immediate long-term opportunity with one of our key clients for a position of Data Engineer, to work on a remote basis.

The ideal applicant must have extensive experience with Python, Hadoop, Hive and SQL.

**ALL successful candidates for this position are required to work directly for PRIMUS. No agencies please**

For immediate consideration, please contact:

Tejaswini
PRIMUS Global Services
Direct: 972-798-2662
Desk: 972-753-6500 Ext: 204
Email: jobs@primusglobal.com","$91,633 /yr (est.)",501 to 1000 Employees,Private Practice / Firm,Information Technology,Information Technology Support Services,2002,$5 to $25 million (USD)
