company,company_rating,location,job_title,job_description,salary_estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
"SourceMantra
3.7",3.7,"Houston, TX",Data Engineer,"Hello,
Job Title: Data Engineer
Location: Houston-Texas Onsite
Duration: 6+Months
Responsibilities include:
Design and implement reliable data pipelines to integrate disparate data sources into a single Data Lakehouse
Design and implement data quality pipelines to ensure data correctness and building trusted datasets
Design and implement a Data Lakehouse solution which accurately reflects business operations
Assist with data platform performance tuning and physical data model support including partitioning and compaction
Provide guidance in data visualizations and reporting efforts to ensure solutions are aligned to business objectives
The successful candidate will meet the following qualifications:
5+ years of experience as a Data Engineer designing and maintaining data pipeline architectures
5+ years of programming experience in #Python, #ANSISQL, #PLSQL, and #TSQL
Experience in various data integration patterns including #ETL, #ELT, #Pub/Sub, and Change Data Capture
Experience with common Python Data Engineering packages including #pandas, #Numpy, #Pyarrow#Pytest, #Scikit-Learn, and #Boto3
Experience in software development practices such as Design Principles and Patterns, Testing, Refactoring, CI/CD, and version control
Experience in implementing a Data Lakehouse using #ApacheIceberg or #DeltaLake
Knowledgeable of modern data platform technologies including Apache Airflow, Kubernetes, and S3 Object Storage
Experience with Dremio and Airbyte is preferred
Thanks and Regards
Swarna | SourceMantra Inc
Sr US IT Recruiter
swarna@sourcemantra.com|| 908-381-0321
295, Durham Avenue, Suite #201, South Plainfield, New Jersey 07080, USA
Job Type: Contract
Salary: $65.00 - $70.00 per hour
Benefits:
Health insurance
Compensation package:
Hourly pay
Experience level:
9 years
Schedule:
8 hour shift
Experience:
Python: 5 years (Preferred)
Azure Data Lake: 3 years (Preferred)
Delta lake: 1 year (Preferred)
Work Location: On the road",$67.50 /hr (est.),Unknown,Company - Public,Financial Services,Accounting & Tax,#N/A,Unknown / Non-Applicable
"Cloud Shift Technologies LLC
5.0",5.0,"Columbus, OH",Data Engineer,"Data Engineer
Cleveland, Ohio
Video Interview
Duration: 1+ years
State of Ohio LOT
Job# 720856
Job Description
The posting is hybrid/remote- occasional check-in at a lottery office located in the State of Ohio may be necessary
*Urgent request*
The posting is hybrid/remote- occasional check-in at a Lottery office located in the State of Ohio may be necessary
615 West Superior Avenue Cleveland, Ohio 44113
Skills
Strong knowledge of SQL to aid in data visualization. Python experience is a bonus.
Working knowledge of Hadoop tools, such as Spark, Impala, Hue, and Kafka, to create, query, and manage ETL data flows for batch and streaming ingestion.
Ideally, working knowledge of data connectors for embedding data visualizations from Tableau Server or PowerBI into SharePoint.
Knowledge of Tableau Server and/or Microsoft PowerBI is helpful.
Practical understanding and experience with data cleaning/cleansing.
Conceptual understanding of networking schematics and data flows for ETL purposes.
Ability to conceptualize development of data mart environments using batch data for agency business analyst usage.
Some experience with newer data analysis tools, such as Tensorflow, is helpful.
Responsibilities
85%
Work with resources to provision necessary access to data sources for ingestion to agency Hadoop platform.
Utilizing service accounts, develop ETL pipelines through Spark and/or StreamSets to bring data from disparate source systems into agency’s Hadoop platform iteration. Validate data sets in Hadoop to ensure ingestion loads are as close to 1:1 as possible.
Commit table transformations within Hadoop platform where needed to allow agency analyst to develop requested visuals. Ensure data refresh schedule is consistent with departmental need. Validate and test connections between dataset and cloud analytics software.
Create a Data Mart DB for rolled-up and simplified tables for agency analyst consumption. One set of tables may be created for Sales staff, another may be created for Executive staff, etc. Further direction to be given once this stage is reached.
Assist with the automation of several existing reports and visualizations within Tableau Server.
Document work completed and publish FAQ on agency wiki. Work with department head to conduct agency training on data usage.
Validate and ingest streaming agency data, when available. Assist in transforming the data, with the data analyst, to create more on-demand, near-live visualizations of agency activity.
Validate and test connections between dataset and cloud analytics software.
10%
Work with enterprise and corporate resources to determine how outside data and software (to mean “outside of Microsoft ecosystem”) can be read within Microsoft SharePoint server.
Deploy data connectors where necessary to connect IOP datasets to Microsoft ecosystem. Deploy data connectors, if necessary, to connect Tableau Server environment to Microsoft ecosystem.
5%
Document work completed and publish FAQ on agency wiki. Conduct training, as directed, throughout.
Qualifications:
Bachelor's or masters degree in computer science, software or computer engineering, information systems or similar academic background.
Working practical experience in developing and deploying ETL pipelines in an enterprise big data environment.Skill
Required / Desired
Actual Year
Last Year Used
Strong knowledge of SQL to aid in data visualization
Required
Working knowledge of Hadoop tools, such as Spark, Impala, Hue, and Kafka, to create, query, and manage ETL data flows
Required
working knowledge of data connectors for embedding data visualizations from Tableau Server or PowerBI into SharePoint
Required
Knowledge of Tableau Server and/or Microsoft PowerBI
Required
Python experience is a bonus
Required
Job Types: Full-time, Contract
Pay: $50.00 - $54.00 per hour
Benefits:
Employee assistance program
Paid time off
Professional development assistance
Relocation assistance
Experience level:
6 years
7 years
8 years
Schedule:
8 hour shift
Work Location: Remote",$52.00 /hr (est.),1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
Fortek IT Solutions USA,#N/A,"Denver, NC",Data Engineer,"JD:
Engineer requirement:
· Bachelor's degree in Statistics, Computer Science, Data Science, or related quantitative field 3-5+ years of experience in business intelligence related roles and at least 2+ years spent as a BI Engineer Proficient with business intelligence platforms,
· Understand business requirements and translate them into consumable and governed solutions Capture data to design KPIs and visualization for different audiences across the enterprise.
· In-depth knowledge of Power BI, including data modeling, DAX expressions, and Power Query.
· Experience in designing and implementing data visualizations, such as charts, graphs, and maps, to present complex data in a user-friendly manner Familiarity with data warehousing concepts and best practices.
· Proficiency in writing complex SQL queries, preferably in Snowflake, for data extraction, manipulation, and optimization.
· Collaborate with key stakeholders to deliver on their data and analytics needs by producing live dashboards and/or reporting with a focus on Self-Service Enablement Maintain access controls to BI and Analytics Platforms, Reports, and Dashboards to ensure sensitive information is restricted.
· Power BI Experience working with stakeholders to gather requirements Expert in SQL and experience with databases such as Snowflake Proficient in concepts and implementation in developing reports, Dashboard, self-service BI, and visualizations AI/ML experience within Power BI
· Previous experience with Tableau is nice to have related to BI and Analytics Financial industry is a plus.
· Build the North Star metrics and models that orient the overall business and our product pods.
· Build and maintain automated forecasting models from the bottom up, including diff to actuals and explanatory models.
· Build anomaly detection routines that detect risks to growth at all margins.
· Proven experience as a Power BI Developer, with a strong background in developing interactive dashboards and reports.
· Strong analytical and problem-solving skills with a keen attention to detail
· Excellent communication and collaboration abilities to work effectively with stakeholders of various technical backgrounds.
· Ability to work independently and manage multiple priorities in a fast-paced environment.
· you will work with big data sets to build forecasts, attribution models, content and engagement value models, user journeys, retention/churn models, and more.
· Come up with quick hypotheses to diagnose and explain trends in our growth.
· Propose strategic initiatives and goals, and perform ad-hoc analysis, to help our functional partners to achieve their goals and drive growth.
· Effectively communicate with people in all disciplines and levels, including the C-suite
· Deep understanding of time
Job Type: Contract
Salary: $65.00 - $75.00 per hour
People with a criminal record are encouraged to apply
Ability to commute/relocate:
Denver, NC 28037: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: In person",$70.00 /hr (est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Wiliot
4.5",4.5,Remote,Data Engineer,"Wiliot was founded by the team that invented one of the technologies at the heart of 5G. Their next vision was to develop an IoT sticker, a computing element that can power itself by harvesting radio frequency energy, bringing connectivity and intelligence to everyday products and packaging, things previously disconnected from the IoT. This revolutionary mixture of cloud and semiconductor technology is being used by some of the world’s largest consumer, retail, food, and pharmaceutical companies to change the way we make, distribute, sell, use, and recycle products. We’re driven by our passion for sustainability, ESG and waste reduction.
Our investors include Softbank, Amazon, Alibaba, Verizon, NTT DoCoMo, Qualcomm and PepsiCo.
We are growing fast and need people that want to be part of the journey, commercializing Sensing as a Service and enabling “Intelligence for Everyday Things”.
We are seeking an experienced data engineer to join our team and evolve our data and ML infrastructure. You will play a crucial role in bridging the gap between our clients, data science, data analytics, platform, and cloud teams. You will collaborate closely to understand their data requirements, design, and implement scalable data solutions, and provide ongoing support to ensure successful integration and utilization of our IoT products. You will be responsible for managing data pipelines, optimizing data workflows, and transforming raw data into structured data solutions.

Requirements:


Bachelor's or Master's degree in Computer Science, Data Engineering, or a related field.
Proven experience as a Data Engineer, preferably in a client-facing role.
Strong programming skills in languages such as Python, Java, or Scala.
Proficiency in designing and implementing data pipelines using technologies like Apache Kafka, Apache Spark, or similar frameworks.
Experience in Databricks preferred
Understanding of batch vs streaming based data pipelines and ML models
Familiarity with cloud-based data storage and processing platforms such as AWS, GCP, or Azure.
Experience with SQL and NoSQL databases, data modeling, and database optimization techniques.
Strong communication and interpersonal skills to effectively interact with clients and internal teams.
Ability to manage multiple projects and prioritize tasks in a fast-paced environment.

Responsibilities:


Develop machine learning applications according to requirements
Partner with data scientists to co-deliver data products
Engage directly with clients to understand their data needs and provide data engineering expertise.
Collaborate with cross-functional teams to design and implement data pipelines that meet client requirements and align with Wiliot's infrastructure.
Develop efficient data workflows to enable seamless data ingestion, transformation, storage, and retrieval.
Implement data quality rules/checks, data validation, and monitoring processes to ensure data integrity and accuracy.
Troubleshoot data-related issues and provide timely resolution to ensure client satisfaction.
Provide training and documentation to clients on data integration best practices and usage of Wiliot's data products.",#N/A,1 to 50 Employees,Company - Private,Information Technology,Computer Hardware Development,2017,Unknown / Non-Applicable
"WCG
3.2",3.2,"Princeton, NJ",Data & Analytics Engineer (Remote),"Description and Requirements
JOB SUMMARY:

The Data & Analytics (D&A) Engineer is responsible for delivering business needs end-to-end in an iterative, agile pattern, starting from understanding the requirements to deploying scalable and robust software, utilizing cloud technology and full automation, into production. This role will solve integration needs by supplying and consuming information needed for analytics and operations. We use a variety of technology, from big data to open source frameworks including AI/ML, to integrate and present meaningful analytical insights into clinical trial business needs and customer uses. Our tools analyze historical data to identify insights, forecast trends, and recommend actionable items to improve clinical trial business and operations.

In addition to delivery, the D&A Engineer should have an automation first and continuous improvement mindset, driving the adoption of CI/CD & data ops tools while supporting the improvement of the tool sets/processes. This role requires being fluent in some technologies while being proficient in others and learning on the job to deliver value to both customers and to the business. Necessary attributes of the position include ownership, accountability, and resilience.

EDUCATION REQUIREMENTS:
Bachelor’s degree in a quantitative discipline (i.e. statistics, applied mathematics, computer science, data mining, machine learning, or some other empirical science) preferred.

QUALIFICATIONS/EXPERIENCE:

3+ years of experience in a Data or Analytics role with a proven track record of quality software development in a disciplined software development lifecycle and an ability to innovate outside of traditional architecture/software patterns when needed to deliver customer enterprise or customer facing applications.
1+ years of experience in the following:
Covering Big Data, Streaming, and Data Engineering related technologies such as spark, using scripting languages such as Python and using object-oriented languages such as Java/Scala/C++ or functional programming languages such as Scala in DevOps/CICD, using technologies such as docker/ kubernetes.
Familiarity with using Databricks or a similar platform for data engineering & data science.
Comfortable in configuring and using multiple operating systems (Mac/Windows/*nix).
Knowledge and/or experience with health care information domains is a plus.

ESSENTIAL DUTIES/RESPONSIBILITIES: To perform this job successfully, an individual must be able to perform each essential duty and responsibility satisfactorily. The requirements listed below are representative of the knowledge, skills, and/or ability required.
Contribute as part of a scrum team on requirements from a business/product owner and take direction from the tech lead.
Design, implement, test and release(deliver) technical solutions to business requirements.
Implement automated release (CICD) for solution delivery.
Actively participate in the agile delivery process.
Other duties as assigned by supervisor. These may, on occasion, be unrelated to the position described here.
Attendance and punctuality are essential functions of the position.

TRAVEL REQUIREMENTS:
0% - 5%

WHY WE LOVE WCG: At WCG, our employees are our most valuable asset and as with all our assets, we invest in them with an eye toward future success. We provide each eligible employee with a comprehensive set of benefits designed to protect their personal and financial health and to help them make the most of their future.

Comprehensive Benefits package - Health, Dental, Vision, Life Disability, 401k with match, and flexible spending accounts
Employee Assistance Programs and additional work/life resources
Referral Bonuses and Tuition Reimbursement
Paid time off including holidays, vacation, and sick time
Opportunities for career development with on-the-job training, certification assistance and continuing education reimbursement

EXPECTED ANNUAL BASE SALARY: $49,860 to $77,500
GPS LEVEL: P2

WCG is proud to be an equal opportunity employer – Qualified applicants will receive consideration for employment without regard to race, color, national origin or ancestry, religion or creed, sex, sexual orientation, gender identity, age, marital status, disability, genetic information, citizenship, veteran status, reprisal or any other legally recognized basis or status protected by federal, state or local law.","$63,680 /yr (est.)",1001 to 5000 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,#N/A,$100 to $500 million (USD)
wiselinkglobal,#N/A,"Plano, TX",Data Engineer,"Position: Data Engineer
Location: Plano, TX
Duration: Fulltime
Job Description:
Skilled in Business Intelligence/Data Warehouse, Data and Technical Architecture, Methodology, Architecture, Data Governance, Data Modeling, ETL Tools, Big Data, Data Lake. Strong expertise applying industry best practice methods and sound enterprise architecture, data architecture/ management, and integration techniques across domains.
What you will be doing:
End to End responsibility for data modeling (OLTP, OLAP)
Data analysis experience with writing complex queries, unions, joins and aggregations.
Data analysis experience using major RDBMS solutions like snowflake, redshift etc
Experience with ELT, ETL processes using glue, glue brew transformations.
Use airflow to schedule and time data transfers.
Understanding of deep JSON structures and partitioning using Kafka, spark, Scala, s3 etc.
Work with Data Scientist team to build segmentations, ML use cases, forecasting etc
Experience working with sagemaker, jupyter notebooks for deep data analysis.
Work with the BI specialists to design develop and enhance connectors to get closer to business use cases.
Migration of existing custom pipelines to a normalized connector approach
Help educate CT teams on data integration, validation standards and drive clean ingestion egestion patterns for the platform.
What you bring:
Work with APIs to extract and ingest data.
Work with virtual warehouses and configure them for optimal performance and efficiency.
Conduct ETL data integration, cleansing transformations using glue spark script.
Work on aggregations of data coming from applications and apis to store results in a historic table.
Experience with streaming data analytics and building of streaming pipelines and connectors.
Experience with connections to BI solutions like tableau which include configurations of roles, policies within aws
Leverage Lambda, glue and step functions to cleanse and transform data.
Work with DWH technologies like EC2, s3, redshift, athena, snowflake to churn large data sets and partition them in readable formats and in real time
Job Type: Full-time
Salary: From $100,000.00 per year
Schedule:
8 hour shift
Ability to commute/relocate:
Plano, TX 75023: Reliably commute or planning to relocate before starting work (Required)
Experience:
APIs: 1 year (Preferred)
SQL: 1 year (Required)
Data warehouse: 1 year (Required)
Work Location: In person","$100,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Clairvoyant
4.1",4.1,"Bethlehem, PA",Data Engineer,"Job type: Fulltime/W2
Location: Bethlehem, PA
Job Description:
Sr Data Engineer
Design, develop, implement, and maintain code, information architecture, and conceptual models to support data processing, and flows thru data lake
Work with clients to get the requirements and build codes accordingly
Translate client business requirements into data requirements
Communicate the data requirements to other members of the team
Conceptualizing and generating infrastructure that allows big data to be accessed and analyzed.
Reformulating existing frameworks to optimize their functioning.
Testing such structures to ensure that they are fit for use.
Preparing raw data for manipulation by data scientists or for visualization team.
Proven experience as a data engineer, software developer, or similar.
AWS: S3 Data Lake, Athena, Redshift, EMR, Glue, ECS
Proficiency with Python in a data engineering context. Ex: Pandas, PySpark
Experience using VCS like Github, Gitlab
Excellent analytical and problem-solving skills.
A knack for independence and group work.
Capacity to successfully manage a pipeline of duties with minimal supervision.
Job Type: Full-time
Salary: $80.00 - $85.00 per hour
Experience:
AWS: 4 years (Required)
Python: 3 years (Required)
GitHub/Gitlab: 2 years (Required)
Work Location: Remote",$82.50 /hr (est.),501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,2012,Unknown / Non-Applicable
"MARVEL TECHNOLOGIES INC
3.7",3.7,"Plano, TX",Data Engineer - Connected Technologies,"Our client is seeking a Data Engineer - Connected Technologies
Skilled in Business Intelligence/Data Warehouse, Data and Technical Architecture, Methodology, Architecture, Data Governance, Data Modeling, ETL Tools, Big Data, Data Lake. Strong expertise applying industry best practice methods and sound enterprise architecture, data architecture/ management, and integration techniques across domains.
Duties and Responsibilities:
End to End responsibility for data modeling (OLTP, OLAP)
Data analysis experience with writing complex queries, unions, joins and aggregations.
Data analysis experience using major RDBMS solutions like snowflake, redshift etc
Experience with ELT, ETL processes using glue, glue brew transformations.
Use airflow to schedule and time data transfers.
Understanding of deep JSON structures and partitioning using Kafka, spark, Scala, s3 etc.
Work with Data Scientist team to build segmentations, ML use cases, forecasting etc
Experience working with sagemaker, jupyter notebooks for deep data analysis.
Work with the BI specialists to design develop and enhance connectors to get closer to business use cases.
Migration of existing custom pipelines to a normalized connector approach
Help educate CT teams on data integration, validation standards and drive clean ingestion egestion patterns for the platform.
Required and Desired Skills/Certifications:
Work with APIs to extract and ingest data.
Work with virtual warehouses and configure them for optimal performance and efficiency.
Conduct ETL data integration, cleansing transformations using glue spark script.
Work on aggregations of data coming from applications and apis to store results in a historic table.
Experience with streaming data analytics and building of streaming pipelines and connectors.
Experience with connections to BI solutions like tableau which include configurations of roles, policies within aws
Leverage Lambda, glue and step functions to cleanse and transform data.
Work with DWH technologies like EC2, s3, redshift, athena, snowflake to churn large data sets and partition them in readable formats and in real time
Job Types: Full-time, Contract
Pay: $60.00 - $65.00 per hour
Compensation package:
Hourly pay
Yearly pay
Experience level:
8 years
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Plano, TX 75023: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Are you willing to work day one onsite?
Can you work Independently?
Experience:
Data Engineering: 8 years (Required)
Business intelligence: 3 years (Required)
Data warehouse: 3 years (Required)
ELT, ETL processes using glue: 1 year (Required)
API: 3 years (Required)
Big data: 2 years (Required)
Data Governance: 1 year (Required)
Work Location: In person",$62.50 /hr (est.),51 to 200 Employees,Company - Private,Information Technology,Computer Hardware Development,#N/A,$5 to $25 million (USD)
"Datasys Software and Consulting Inc
4.4",4.4,"Plano, TX",Data Engineer,"Data Engineer
Plano, TX
Long-term Contract
Roles and Responsibilities:
Skilled in Business Intelligence/Data Warehouse, Data and Technical Architecture, Methodology, Architecture, Data Governance, Data Modeling, ETL Tools, Big Data, Data Lake. Strong expertise applying industry best practice methods and sound enterprise architecture, data architecture/ management, and integration techniques across domains.
End to End responsibility for data modeling (OLTP, OLAP)
Data analysis experience with writing complex queries, unions, joins and aggregations.
Data analysis experience using major RDBMS solutions like snowflake, redshift etc.
Experience with ELT, ETL processes using glue, glue brew transformations.
Use airflow to schedule and time data transfers.
Understanding of deep JSON structures and partitioning using Kafka, spark, Scala, s3 etc.
Work with Data Scientist team to build segmentations, ML use cases, forecasting etc.
Experience working with sagemaker, jupyter notebooks for deep data analysis.
Work with the BI specialists to design develop and enhance connectors to get closer to business use cases.
Migration of existing custom pipelines to a normalized connector approach
Help educate CT teams on data integration, validation standards and drive clean ingestion egestion patterns for the platform.
Experience and Qualifications:
Work with APIs to extract and ingest data.
Work with virtual warehouses and configure them for optimal performance and efficiency.
Conduct ETL data integration, cleansing transformations using glue spark script.
Work on aggregations of data coming from applications and APIs to store results in a historic table.
Experience with streaming data analytics and building of streaming pipelines and connectors.
Experience with connections to BI solutions like tableau which include configurations of roles, policies within AWS.
Leverage Lambda, glue and step functions to cleanse and transform data.
Work with DWH technologies like EC2, s3, redshift, athena, snowflake to churn large data sets and partition them in readable formats and in real time.
Job Type: Contract
Work Location: In person","$100,019 /yr (est.)",1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,Unknown / Non-Applicable
"AgileEngine
5.0",5.0,Remote,Senior Data Engineer,"Remote position for USA residents;
What you will do
Work independently and with the business stakeholders to understand their requirements and drive business outcomes;
Utilize SQL Server database for backend development, Informatica for ETL processes, and
Control-M for automation. Experience with Postman is essential;
Provide engineering solutions, design and build data pipelines while considering scalability and efficiency;
Collaborate with the SDET team to incorporate testing aspects into the DevOps pipeline;
Take the initiative to improve team efficiency, actively contributing with ideas and innovative solutions;
Think strategically about the design and architectural aspects of the data infrastructure;
Previous experience in the financial industry, specifically wealth asset management, is highly desired;
This is a multi-year project with long-term stability and growth potential;
Conduct performance testing to ensure the smooth functioning of data pipelines;
Note that this role involves working on an existing platform and is not a support project.
Must haves
Strong proficiency in SQL Server database, Informatica, and Control-M automation;
Experience with Postman is required;
Solid understanding of data concepts, including ODS, data warehousing and data storage;
Ability to think strategically about design and architectural aspects of data infrastructure;
Previous experience in the financial industry, particularly asset management, is highly desired;
Strong problem-solving skills and ability to proactively contribute to the team’s efficiency;
Experience with performance testing and ensuring the efficiency of data pipelines.
Nice to haves
Cloud experience;
Experience with Data Modeling;
Experience with Python or Java, and familiarity with Java and Spring Batch is beneficial.
The benefits of joining us
Professional growth
Accelerate your professional journey with mentorship, TechTalks, and personalized growth roadmaps
Competitive compensation
We match your ever-growing skills, talent, and contributions with competitive USD-based compensation and budgets for education, fitness, and team activities
A selection of exciting projects
Join projects with modern solutions development and top-tier clients that include Fortune 500 enterprises and leading product brands
Flextime
Tailor your schedule for an optimal work-life balance, by having the options of working from home and going to the office – whatever makes you the happiest and most productive.
Job Types: Contract, Full-time
Work Location: Remote",#N/A,1001 to 5000 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2010,Unknown / Non-Applicable
